"Name","TeamAbbreviation","Minutes","OffPoss","Points","FG2M","FG2A","Fg2Pct","FG3M","FG3A","Fg3Pct","NonHeaveFg3Pct","FtPoints","PtsAssisted2s","PtsUnassisted2s","PtsAssisted3s","PtsUnassisted3s","Assisted2sPct","NonPutbacksAssisted2sPct","Assisted3sPct","FG3APct","ShotQualityAvg","EfgPct","TsPct","PtsPutbacks","Fg2aBlocked","FG2APctBlocked","Fg3aBlocked","FG3APctBlocked","Usage"
"Jayson Tatum","BOS",2299,4665,1704,384,692,0.5549132947976878,201,529,0.3799621928166352,0.3799621928166352,333,282,486,294,309,0.3671875,0.38005390835579517,0.48756218905472637,0.4332514332514332,0.5319885749385758,0.5614250614250614,0.6061915046796257,26,49,0.0708092485549133,1,0.001890359168241966,29.611928885490343
"Derrick White","BOS",2057,4224,956,169,308,0.5487012987012987,169,433,0.3903002309468822,0.3903002309468822,111,138,200,408,99,0.40828402366863903,0.43670886075949367,0.8047337278106509,0.5843454790823212,0.531332995951417,0.5701754385964912,0.5996216897856242,22,24,0.07792207792207792,1,0.0023094688221709007,18.935538592027143
"Jaylen Brown","BOS",2046,4209,1443,433,743,0.5827725437415882,131,358,0.3659217877094972,0.3659217877094972,184,362,504,252,141,0.418013856812933,0.43719806763285024,0.6412213740458015,0.32515894641235243,0.5358526793823797,0.5717529518619436,0.5972682119205298,38,59,0.07940780619111709,3,0.008379888268156424,28.97594209069619
"Jrue Holiday","BOS",1949,3955,771,172,329,0.5227963525835866,127,292,0.4349315068493151,0.436426116838488,46,154,190,288,93,0.4476744186046512,0.4583333333333333,0.7559055118110236,0.47020933977455714,0.5294405645161291,0.5837359098228664,0.5968992248062015,8,24,0.0729483282674772,1,0.003424657534246575,17.085882619533198
"Al Horford","BOS",1545,3118,490,92,142,0.647887323943662,94,222,0.42342342342342343,0.42342342342342343,24,132,52,282,0,0.717391304347826,0.8571428571428571,1,0.6098901098901099,0.5533681318681318,0.6401098901098901,0.649867374005305,30,10,0.07042253521126761,1,0.0045045045045045045,12.059581781724436
"Kristaps Porzingis","BOS",1485,3087,1035,255,421,0.6057007125890737,102,265,0.3849056603773585,0.38783269961977185,219,360,150,303,3,0.7058823529411765,0.8035714285714286,0.9901960784313726,0.38629737609329445,0.5391872076023392,0.5947521865889213,0.6445556946182729,62,17,0.040380047505938245,0,0,25.69505414105941
"Sam Hauser","BOS",1427,2860,558,42,72,0.5833333333333334,155,357,0.4341736694677871,0.4378531073446328,9,62,22,456,9,0.7380952380952381,0.8378378378378378,0.9806451612903225,0.8321678321678322,0.5514437647058823,0.6398601398601399,0.6428571428571429,10,7,0.09722222222222222,0,0,14.061054579093431
"Payton Pritchard","BOS",1394,2729,554,97,161,0.6024844720496895,113,292,0.386986301369863,0.39100346020761245,21,60,134,291,48,0.30927835051546393,0.32608695652173914,0.8584070796460177,0.6445916114790287,0.5259611111111111,0.5883002207505519,0.5944206008583691,10,14,0.08695652173913043,0,0,15.98477640342531
"Luke Kornet","BOS",769,1502,263,111,153,0.7254901960784313,1,1,1,1,38,156,66,3,0,0.7027027027027027,0.9873417721518988,1,0.006493506493506494,0.6276616883116882,0.7305194805194806,0.7601156069364162,64,9,0.058823529411764705,0,0,10.81081081081081
"Oshae Brissett","BOS",373,734,98,24,45,0.5333333333333333,9,28,0.32142857142857145,0.32142857142857145,23,34,14,27,0,0.7083333333333334,0.9444444444444444,1,0.3835616438356164,0.5634301369863014,0.5136986301369864,0.532608695652174,12,4,0.08888888888888889,0,0,11.7169373549884
"Neemias Queta","BOS",206,410,82,34,56,0.6071428571428571,0,0,0,0,14,48,20,0,0,0.7058823529411765,1,0,0,0.5708785714285715,0.6071428571428571,0.640625,20,5,0.08928571428571429,0,0,14.730290456431534
"Xavier Tillman","BOS",200,373,46,15,24,0.625,5,18,0.2777777777777778,0.2777777777777778,1,24,6,15,0,0.8,0.8,1,0.42857142857142855,0.5341214285714285,0.5357142857142857,0.5348837209302325,0,3,0.125,0,0,10.337078651685394
"Svi Mykhailiuk","BOS",162,321,70,7,11,0.6363636363636364,17,38,0.4473684210526316,0.4594594594594595,5,10,4,51,0,0.7142857142857143,1,1,0.7755102040816326,0.5573916666666666,0.6632653061224489,0.6730769230769231,4,1,0.09090909090909091,0,0,15.36388140161725
"Dalano Banton","BOS",62,126,16,7,12,0.5833333333333334,0,4,0,0,2,6,8,0,0,0.42857142857142855,0.75,0,0.25,0.516396875,0.4375,0.47058823529411764,6,1,0.08333333333333333,0,0,15.436241610738255
"Jaden Springer","BOS",42,81,15,4,7,0.5714285714285714,1,2,0.5,0.5,4,0,8,3,0,0,0,1,0.2222222222222222,0.5062,0.6111111111111112,0.6818181818181818,2,1,0.14285714285714285,0,0,12.765957446808512
"Jordan Walsh","BOS",40,81,6,1,3,0.3333333333333333,1,4,0.25,0.25,1,0,2,3,0,0,0,1,0.5714285714285714,0.6184642857142857,0.35714285714285715,0.375,0,0,0,0,0,10.204081632653061
"Lamar Stevens","BOS",28,59,11,3,5,0.6,1,4,0.25,0.25,2,6,0,3,0,1,1,1,0.4444444444444444,0.6040166666666666,0.5,0.55,0,0,0,0,0,16.666666666666664
"JD Davison","BOS",13,27,3,1,2,0.5,0,1,0,0,1,2,0,0,0,1,1,0,0.3333333333333333,0.42721666666666663,0.3333333333333333,0.375,0,0,0,0,0,15.625
"Drew Peterson","BOS",9,19,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.56655,0,0,0,0,0,0,0,9.523809523809524
