"Name","TeamAbbreviation","Minutes","OffPoss","Points","FG2M","FG2A","Fg2Pct","FG3M","FG3A","Fg3Pct","NonHeaveFg3Pct","FtPoints","PtsAssisted2s","PtsUnassisted2s","PtsAssisted3s","PtsUnassisted3s","Assisted2sPct","NonPutbacksAssisted2sPct","Assisted3sPct","FG3APct","ShotQualityAvg","EfgPct","TsPct","PtsPutbacks","Fg2aBlocked","FG2APctBlocked","Fg3aBlocked","FG3APctBlocked","Usage"
"DeMar DeRozan","CHI",2666,5308,1665,513,1009,0.5084241823587711,70,207,0.33816425120772947,0.34146341463414637,429,282,744,183,27,0.27485380116959063,0.2781065088757396,0.8714285714285714,0.17023026315789475,0.48838846787479406,0.5082236842105263,0.5773268019594122,12,63,0.062438057482656094,3,0.014492753623188406,25.694328953933145
"Coby White","CHI",2537,5051,1293,289,576,0.5017361111111112,181,494,0.36639676113360325,0.3693877551020408,172,162,416,453,90,0.28027681660899656,0.28222996515679444,0.8342541436464088,0.4616822429906542,0.5432500938967135,0.5238317757009345,0.555603448275862,4,53,0.0920138888888889,3,0.006072874493927126,22.705061082024432
"Nikola Vucevic","CHI",2293,4566,1208,437,800,0.54625,82,274,0.29927007299270075,0.29927007299270075,88,654,220,246,0,0.7482837528604119,0.8493506493506493,1,0.25512104283054005,0.5102575418994414,0.521415270018622,0.5383928571428571,104,45,0.05625,0,0,23.91177044700371
"Ayo Dosunmu","CHI",1945,3874,796,204,365,0.5589041095890411,106,266,0.39849624060150374,0.4,70,220,188,282,36,0.5392156862745098,0.5472636815920398,0.8867924528301887,0.4215530903328051,0.5812481717011129,0.5752773375594294,0.5932835820895522,6,52,0.14246575342465753,1,0.0037593984962406013,17.20624858501245
"Alex Caruso","CHI",1795,3587,649,106,187,0.5668449197860963,125,299,0.4180602006688963,0.4180602006688963,62,82,130,330,45,0.3867924528301887,0.4019607843137255,0.88,0.6152263374485597,0.5680952674897118,0.6039094650205762,0.6204588910133844,8,20,0.10695187165775401,2,0.006688963210702341,15.099502487562187
"Andre Drummond","CHI",1235,2440,605,243,439,0.5535307517084282,0,2,0,0,119,272,214,0,0,0.5596707818930041,0.8,0,0.0045351473922902496,0.6005993166287016,0.5510204081632653,0.5707547169811321,146,41,0.09339407744874716,0,0,20.854877628403997
"Patrick Williams","CHI",1048,2084,380,87,190,0.45789473684210524,54,134,0.40298507462686567,0.40298507462686567,44,92,82,156,6,0.5287356321839081,0.5679012345679012,0.9629629629629629,0.41358024691358025,0.5619802469135803,0.5185185185185185,0.5413105413105413,12,23,0.12105263157894737,1,0.007462686567164179,16.938519447929735
"Torrey Craig","CHI",965,1905,273,44,91,0.4835164835164835,53,141,0.375886524822695,0.375886524822695,26,50,38,153,6,0.5681818181818182,0.6944444444444444,0.9622641509433962,0.6077586206896551,0.5678593073593073,0.5323275862068966,0.5548780487804879,16,6,0.06593406593406594,1,0.0070921985815602835,12.568058076225046
"Jevon Carter","CHI",904,1807,321,54,114,0.47368421052631576,70,218,0.3211009174311927,0.3211009174311927,3,76,32,183,27,0.7037037037037037,0.7037037037037037,0.8714285714285714,0.6566265060240963,0.5114296072507553,0.4789156626506024,0.4805389221556886,0,4,0.03508771929824561,2,0.009174311926605505,17.356157869709936
"Zach LaVine","CHI",768,1547,426,94,180,0.5222222222222223,53,151,0.3509933774834437,0.3509933774834437,79,72,116,81,78,0.3829787234042553,0.3829787234042553,0.5094339622641509,0.4561933534743202,0.5562373111782477,0.5241691842900302,0.5663956639566395,0,17,0.09444444444444444,1,0.006622516556291391,24.1399416909621
"Dalen Terry","CHI",558,1101,140,39,63,0.6190476190476191,15,63,0.23809523809523808,0.24193548387096775,17,40,38,42,3,0.5128205128205128,0.5882352941176471,0.9333333333333333,0.5,0.5976248000000001,0.4880952380952381,0.5072463768115942,10,4,0.06349206349206349,0,0,12.403697996918336
"Julian Phillips","CHI",240,490,69,15,29,0.5172413793103449,10,32,0.3125,0.3125,9,20,10,30,0,0.6666666666666666,0.9090909090909091,1,0.5245901639344263,0.5899327868852459,0.4918032786885246,0.5227272727272727,8,5,0.1724137931034483,0,0,13.321492007104796
"Javonte Green","CHI",208,413,106,33,44,0.75,10,27,0.37037037037037035,0.37037037037037035,10,48,18,30,0,0.7272727272727273,0.8571428571428571,1,0.38028169014084506,0.6043739436619718,0.676056338028169,0.7066666666666667,10,3,0.06818181818181818,1,0.037037037037037035,17.263157894736842
"Onuralp Bitim","CHI",207,413,54,10,20,0.5,10,30,0.3333333333333333,0.3333333333333333,4,18,2,30,0,0.9,0.9,1,0.6,0.525081,0.5,0.5192307692307693,0,0,0,2,0.06666666666666667,12.552301255230125
"Terry Taylor","CHI",116,228,28,12,21,0.5714285714285714,1,5,0.2,0.2,1,14,10,3,0,0.5833333333333334,1,1,0.19230769230769232,0.576825,0.5192307692307693,0.5185185185185185,10,2,0.09523809523809523,0,0,10.984848484848484
"Adama Sanogo","CHI",41,85,19,9,21,0.42857142857142855,0,0,0,0,1,12,6,0,0,0.6666666666666666,0.8571428571428571,0,0,0.5216857142857142,0.42857142857142855,0.4523809523809524,4,2,0.09523809523809523,0,0,22.857142857142858
"Henri Drell","CHI",19,41,6,1,3,0.3333333333333333,1,2,0.5,0.5,1,0,2,3,0,0,0,1,0.4,0.51316,0.5,0.5,0,1,0.3333333333333333,0,0,13.461538461538462
"Andrew Funk","CHI",7,15,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0.607425,0,0,0,0,0,0,0,11.11111111111111
