"Name","TeamAbbreviation","Minutes","OffPoss","Points","FG2M","FG2A","Fg2Pct","FG3M","FG3A","Fg3Pct","NonHeaveFg3Pct","FtPoints","PtsAssisted2s","PtsUnassisted2s","PtsAssisted3s","PtsUnassisted3s","Assisted2sPct","NonPutbacksAssisted2sPct","Assisted3sPct","FG3APct","ShotQualityAvg","EfgPct","TsPct","PtsPutbacks","Fg2aBlocked","FG2APctBlocked","Fg3aBlocked","FG3APctBlocked","Usage"
"Nikola Vucevic","CHI",19,42,1,0,2,0,0,3,0,0,1,0,0,0,0,0,0,0,0.6,0.48453999999999997,0,0.08333333333333333,0,0,0,0,0,13.043478260869565
"Coby White","CHI",18,42,4,1,2,0.5,0,3,0,0,2,0,2,0,0,0,0,0,0.6,0.5273399999999999,0.2,0.3333333333333333,0,1,0.5,0,0,15.217391304347826
"DeMar DeRozan","CHI",18,41,25,9,21,0.42857142857142855,0,3,0,0,7,4,14,0,0,0.2222222222222222,0.2222222222222222,0,0.125,0.4201239130434783,0.375,0.44642857142857145,0,1,0.047619047619047616,0,0,64.44444444444444
"Alex Caruso","CHI",17,37,9,0,0,0,3,3,1,1,0,0,0,9,0,0,0,1,1,0.4562,1.5,1.5,0,0,0,0,0,10
"Ayo Dosunmu","CHI",8,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zach LaVine","CHI",6,16,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.35975,0,0,0,0,0,0,0,16.666666666666668
"Patrick Williams","CHI",4,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.771,0,0,0,1,1,0,0,16.666666666666668
"Torrey Craig","CHI",2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Andre Drummond","CHI",2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Javonte Green","CHI",2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Onuralp Bitim","CHI",1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dalen Terry","CHI",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Jevon Carter","CHI",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Henri Drell","CHI",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Adama Sanogo","CHI",0,2,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,100
