"Name","TeamAbbreviation","Minutes","OffPoss","Points","FG2M","FG2A","Fg2Pct","FG3M","FG3A","Fg3Pct","NonHeaveFg3Pct","FtPoints","PtsAssisted2s","PtsUnassisted2s","PtsAssisted3s","PtsUnassisted3s","Assisted2sPct","NonPutbacksAssisted2sPct","Assisted3sPct","FG3APct","ShotQualityAvg","EfgPct","TsPct","PtsPutbacks","Fg2aBlocked","FG2APctBlocked","Fg3aBlocked","FG3APctBlocked","Usage"
"Luka Doncic","DAL",2350,4897,2160,479,838,0.5715990453460621,257,677,0.37961595273264404,0.38244047619047616,431,172,786,207,564,0.17954070981210857,0.18336886993603413,0.26848249027237353,0.44686468646864685,0.51133599867286,0.5706270627062706,0.6162456946039035,20,40,0.0477326968973747,5,0.007385524372230428,36.642201834862384
"Tim Hardaway Jr.","DAL",1882,3931,1042,169,352,0.48011363636363635,190,515,0.36893203883495146,0.37181996086105673,134,232,106,483,87,0.6863905325443787,0.6946107784431138,0.8473684210526315,0.5940023068050749,0.5237160486674379,0.5236447520184544,0.5591397849462365,4,21,0.05965909090909091,6,0.011650485436893204,22.688883816480253
"Kyrie Irving","DAL",1802,3731,1332,350,641,0.5460218408736349,154,379,0.40633245382585753,0.4074074074074074,170,260,440,297,165,0.37142857142857144,0.37790697674418605,0.6428571428571429,0.3715686274509804,0.50818894891945,0.5696078431372549,0.6032110091743119,12,34,0.0530421216848674,2,0.005277044854881266,28.302336671435384
"Derrick Jones Jr.","DAL",1622,3360,597,140,233,0.6008583690987125,80,222,0.36036036036036034,0.36036036036036034,77,212,68,237,3,0.7571428571428571,0.8617886178861789,0.9875,0.4879120879120879,0.5909251648351648,0.5714285714285714,0.5946215139442231,34,22,0.0944206008583691,1,0.0045045045045045045,15.022600372241426
"Josh Green","DAL",1300,2680,433,99,175,0.5657142857142857,68,161,0.422360248447205,0.422360248447205,31,146,52,195,9,0.7373737373737373,0.7525773195876289,0.9558823529411765,0.4791666666666667,0.5793873134328358,0.5982142857142857,0.6098591549295774,4,27,0.15428571428571428,0,0,13.68350618936099
"Dereck Lively II","DAL",1171,2408,437,202,271,0.7453874538745388,0,2,0,0,33,326,78,0,0,0.806930693069307,0.9819277108433735,0,0.007326007326007326,0.6407985347985348,0.73992673992674,0.7259136212624585,72,20,0.07380073800738007,0,0,12.89004457652303
"Grant Williams","DAL",1126,2306,345,49,100,0.49,70,184,0.3804347826086957,0.3825136612021858,37,72,26,207,3,0.7346938775510204,0.8571428571428571,0.9857142857142858,0.647887323943662,0.5438256183745582,0.5422535211267606,0.5693069306930693,14,12,0.12,3,0.016304347826086956,13.601236476043278
"Dante Exum","DAL",938,1940,365,96,167,0.5748502994011976,41,89,0.4606741573033708,0.47126436781609193,50,100,92,123,0,0.5208333333333334,0.5494505494505495,1,0.34765625,0.5568289370078741,0.615234375,0.6381118881118881,10,12,0.0718562874251497,2,0.02247191011235955,15.398973401773215
"P.J. Washington","DAL",834,1734,310,63,117,0.5384615384615384,51,153,0.3333333333333333,0.3333333333333333,31,102,24,150,3,0.8095238095238095,0.8947368421052632,0.9803921568627451,0.5666666666666667,0.5463305555555555,0.5166666666666667,0.5308219178082192,12,13,0.1111111111111111,1,0.006535947712418301,16.44398766700925
"Maxi Kleber","DAL",785,1632,174,28,49,0.5714285714285714,30,82,0.36585365853658536,0.36585365853658536,28,46,10,90,0,0.8214285714285714,0.9583333333333334,1,0.6259541984732825,0.5441480916030534,0.5572519083969466,0.58,8,4,0.08163265306122448,0,0,9.821428571428571
