"Name","TeamAbbreviation","Minutes","OffPoss","Points","FG2M","FG2A","Fg2Pct","FG3M","FG3A","Fg3Pct","NonHeaveFg3Pct","FtPoints","PtsAssisted2s","PtsUnassisted2s","PtsAssisted3s","PtsUnassisted3s","Assisted2sPct","NonPutbacksAssisted2sPct","Assisted3sPct","FG3APct","ShotQualityAvg","EfgPct","TsPct","PtsPutbacks","Fg2aBlocked","FG2APctBlocked","Fg3aBlocked","FG3APctBlocked","Usage"
"Kyrie Irving","DAL",7,19,9,1,1,1,1,2,0.5,0.5,4,2,0,3,0,1,1,1,0.6666666666666666,0.34793333333333337,0.8333333333333334,0.9,0,0,0,0,0,27.272727272727273
"Luka Doncic","DAL",6,18,10,0,1,0,2,3,0.6666666666666666,0.6666666666666666,4,0,0,3,3,0,0,0.5,0.75,0.4699625,0.75,0.8333333333333334,0,0,0,0,0,38.88888888888889
"Tim Hardaway Jr.","DAL",4,14,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0.5,0.47005,0,0,0,0,0,0,0,11.76470588235294
"P.J. Washington","DAL",4,11,5,2,2,1,0,0,0,0,1,4,0,0,0,1,1,0,0,0.6391,1,0.8333333333333334,0,0,0,0,0,27.272727272727273
"Maxi Kleber","DAL",4,13,2,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,1,0.48075,0,0.5,0,0,0,0,0,15.384615384615383
"Derrick Jones Jr.","DAL",3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Josh Green","DAL",2,7,5,1,1,1,1,2,0.5,0.5,0,2,0,3,0,1,1,1,0.6666666666666666,0.65895,0.8333333333333334,0.8333333333333334,0,0,0,0,0,30
"Dante Exum","DAL",2,6,3,0,1,0,1,1,1,1,0,0,0,3,0,0,0,1,0.5,0.4582,0.75,0.75,0,0,0,0,0,33.333333333333336
"Daniel Gafford","DAL",2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Grant Williams","DAL",1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dereck Lively II","DAL",1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dwight Powell","DAL",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Seth Curry","DAL",1,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3806,0,0,0,0,0,0,0,20
"Richaun Holmes","DAL",1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A.J. Lawson","DAL",1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
