"Name","TeamAbbreviation","Minutes","OffPoss","Points","FG2M","FG2A","Fg2Pct","FG3M","FG3A","Fg3Pct","NonHeaveFg3Pct","FtPoints","PtsAssisted2s","PtsUnassisted2s","PtsAssisted3s","PtsUnassisted3s","Assisted2sPct","NonPutbacksAssisted2sPct","Assisted3sPct","FG3APct","ShotQualityAvg","EfgPct","TsPct","PtsPutbacks","Fg2aBlocked","FG2APctBlocked","Fg3aBlocked","FG3APctBlocked","Usage"
"Nikola Jokic","DEN",2452,4960,1857,657,1060,0.619811320754717,78,210,0.37142857142857144,0.3842364532019704,309,752,562,189,45,0.5722983257229832,0.6539130434782608,0.8076923076923077,0.16535433070866143,0.4983910530482985,0.6094488188976378,0.6479020979020979,164,62,0.05849056603773585,1,0.004761904761904762,29.245620307472294
"Michael Porter Jr.","DEN",2285,4596,1226,273,481,0.5675675675675675,200,508,0.3937007874015748,0.39447731755424065,80,412,134,579,21,0.7545787545787546,0.8583333333333333,0.965,0.5136501516683518,0.5413157388663967,0.5793731041456016,0.5963972736124635,66,34,0.07068607068607069,2,0.003937007874015748,21.186117467582
"Kentavious Caldwell-Pope","DEN",2173,4369,690,136,257,0.5291828793774319,109,273,0.3992673992673993,0.3992673992673993,91,204,68,312,15,0.75,0.7727272727272727,0.9541284403669725,0.5150943396226415,0.5543618147448015,0.5650943396226416,0.5943562610229277,8,14,0.054474708171206226,0,0,12.806484295845998
"Aaron Gordon","DEN",2078,4173,926,328,533,0.6153846153846154,37,119,0.31092436974789917,0.3135593220338983,159,420,236,96,15,0.6402439024390244,0.7553956834532374,0.8648648648648649,0.18251533742331288,0.6053418461538461,0.5881901840490797,0.6132450331125828,100,53,0.09943714821763602,0,0,17.833052276559865
"Jamal Murray","DEN",1669,3335,1145,297,585,0.5076923076923077,137,314,0.43630573248407645,0.4405144694533762,140,200,394,249,162,0.3367003367003367,0.3472222222222222,0.6058394160583942,0.3492769744160178,0.5072055991041433,0.5589543937708565,0.5876556016597511,18,46,0.07863247863247863,3,0.009554140127388535,28.193599576831524
"Reggie Jackson","DEN",1574,3165,712,191,406,0.47044334975369456,90,247,0.3643724696356275,0.37037037037037035,60,160,222,207,63,0.418848167539267,0.42780748663101603,0.7666666666666667,0.3782542113323124,0.5030561145510836,0.4992343032159265,0.517467248908297,8,28,0.06896551724137931,1,0.004048582995951417,21.602009489254815
"Christian Braun","DEN",1408,2800,508,141,275,0.5127272727272727,53,137,0.38686131386861317,0.3897058823529412,67,198,84,147,12,0.7021276595744681,0.7388059701492538,0.9245283018867925,0.3325242718446602,0.5624195863746958,0.5351941747572816,0.5545851528384279,14,36,0.13090909090909092,1,0.0072992700729927005,15.66677028287224
"Peyton Watson","DEN",1243,2465,410,118,230,0.5130434782608696,39,128,0.3046875,0.31451612903225806,57,186,50,114,3,0.788135593220339,0.8454545454545455,0.9743589743589743,0.3575418994413408,0.5624693502824859,0.4930167597765363,0.5138190954773869,16,27,0.11739130434782609,0,0,16.036036036036037
"Justin Holiday","DEN",649,1301,180,26,44,0.5909090909090909,42,102,0.4117647058823529,0.4117647058823529,2,42,10,123,3,0.8076923076923077,0.84,0.9761904761904762,0.6986301369863014,0.5631609589041097,0.6095890410958904,0.6122448979591837,2,3,0.06818181818181818,0,0,10.79429735234216
"Zeke Nnaji","DEN",416,814,124,46,90,0.5111111111111111,1,9,0.1111111111111111,0.1111111111111111,29,54,38,3,0,0.5869565217391305,0.8709677419354839,1,0.09090909090909091,0.5845555555555556,0.4797979797979798,0.5210084033613446,30,17,0.18888888888888888,0,0,15.100316789862724
"Julian Strawther","DEN",402,828,172,26,51,0.5098039215686274,35,102,0.3431372549019608,0.3431372549019608,15,36,16,102,3,0.6923076923076923,0.72,0.9714285714285714,0.6666666666666666,0.5370176470588236,0.5130718954248366,0.5308641975308642,2,7,0.13725490196078433,0,0,18.789144050104383
"DeAndre Jordan","DEN",334,649,122,50,81,0.6172839506172839,0,0,0,0,22,74,26,0,0,0.74,0.9024390243902439,0,0,0.6271654320987655,0.6172839506172839,0.6039603960396039,18,11,0.13580246913580246,0,0,15.768725361366622
"Collin Gillespie","DEN",156,315,52,9,21,0.42857142857142855,10,26,0.38461538461538464,0.38461538461538464,4,6,12,27,3,0.3333333333333333,0.3333333333333333,0.9,0.5531914893617021,0.5070760869565217,0.5106382978723404,0.5306122448979592,0,2,0.09523809523809523,0,0,16.434540389972145
"Jalen Pickett","DEN",54,107,7,2,4,0.5,1,8,0.125,0.14285714285714285,0,4,0,0,3,1,1,0,0.6666666666666666,0.5107545454545455,0.2916666666666667,0.2916666666666667,0,1,0.25,0,0,14.166666666666668
"Braxton Key","DEN",6,13,3,0,1,0,1,2,0.5,0.5,0,0,0,3,0,0,0,1,0.6666666666666666,0.6033333333333334,0.5,0.5,0,1,1,0,0,21.428571428571427
