"Name","TeamAbbreviation","Minutes","OffPoss","Points","FG2M","FG2A","Fg2Pct","FG3M","FG3A","Fg3Pct","NonHeaveFg3Pct","FtPoints","PtsAssisted2s","PtsUnassisted2s","PtsAssisted3s","PtsUnassisted3s","Assisted2sPct","NonPutbacksAssisted2sPct","Assisted3sPct","FG3APct","ShotQualityAvg","EfgPct","TsPct","PtsPutbacks","Fg2aBlocked","FG2APctBlocked","Fg3aBlocked","FG3APctBlocked","Usage"
"Stephen Curry","GSW",2188,4608,1723,258,501,0.5149700598802395,314,774,0.40568475452196384,0.4072632944228275,265,218,298,591,351,0.42248062015503873,0.43253968253968256,0.6273885350318471,0.6070588235294118,0.5139184397163121,0.571764705882353,0.6152737752161384,12,34,0.06786427145708583,10,0.012919896640826873,29.98095238095238
"Klay Thompson","GSW",2094,4371,1282,209,418,0.5,248,636,0.389937106918239,0.3905511811023622,120,300,118,696,48,0.7177033492822966,0.7425742574257426,0.9354838709677419,0.603415559772296,0.5126242870722424,0.5512333965844403,0.5766787658802178,14,22,0.05263157894736842,4,0.006289308176100629,24.312387070869303
"Brandin Podziemski","GSW",1786,3638,628,168,332,0.5060240963855421,84,212,0.39622641509433965,0.4,40,188,148,201,51,0.5595238095238095,0.5802469135802469,0.7976190476190477,0.3897058823529412,0.5131067343173432,0.5404411764705882,0.551056338028169,12,34,0.10240963855421686,0,0,15.42300380228137
"Jonathan Kuminga","GSW",1755,3645,1088,361,634,0.5694006309148265,53,156,0.33974358974358976,0.34415584415584416,207,432,290,144,15,0.5983379501385041,0.631578947368421,0.9056603773584906,0.19746835443037974,0.5240053934010153,0.5575949367088607,0.5978021978021978,38,66,0.10410094637223975,0,0,24.84804279115001
"Andrew Wiggins","GSW",1736,3576,873,241,484,0.49793388429752067,86,237,0.3628691983122363,0.3644067796610169,133,294,188,231,27,0.6099585062240664,0.6681818181818182,0.8953488372093024,0.3287101248266297,0.5165549999999985,0.5131761442441054,0.5442643391521197,42,39,0.08057851239669421,2,0.008438818565400843,21.517747858017135
"Chris Paul","GSW",1395,2838,480,119,239,0.497907949790795,69,189,0.36507936507936506,0.372972972972973,35,40,198,138,69,0.16806722689075632,0.1724137931034483,0.6666666666666666,0.441588785046729,0.4740929245283019,0.5198598130841121,0.5382882882882883,6,7,0.029288702928870293,4,0.021164021164021163,15.903465346534654
"Draymond Green","GSW",1342,2833,439,121,223,0.5426008968609866,49,121,0.4049586776859504,0.4,50,184,58,138,9,0.7603305785123967,0.8518518518518519,0.9387755102040817,0.35174418604651164,0.5420905247813411,0.565406976744186,0.5853333333333334,26,17,0.07623318385650224,0,0,15.53125
"Kevon Looney","GSW",1089,2204,315,134,215,0.6232558139534884,0,1,0,0,47,180,88,0,0,0.6716417910447762,0.8737864077669902,0,0.004629629629629629,0.5381748837209303,0.6203703703703703,0.6350806451612904,62,21,0.09767441860465116,0,0,11.391912908242613
"Moses Moody","GSW",1011,2085,435,100,187,0.5347593582887701,58,166,0.3493975903614458,0.3493975903614458,61,116,84,162,12,0.58,0.6744186046511628,0.9310344827586207,0.4702549575070821,0.5331290368271955,0.5297450424929179,0.5605670103092784,28,25,0.13368983957219252,4,0.024096385542168676,17.418032786885245
"Dario Saric","GSW",1003,2037,490,99,180,0.55,73,184,0.3967391304347826,0.3967391304347826,73,128,70,219,0,0.6464646464646465,0.7111111111111111,1,0.5054945054945055,0.5146292582417582,0.5728021978021978,0.6094527363184079,18,23,0.12777777777777777,0,0,19.99156474061577
"Trayce Jackson-Davis","GSW",978,2006,470,202,290,0.696551724137931,0,1,0,0,66,308,96,0,0,0.7623762376237624,0.9221556886227545,0,0.003436426116838488,0.585758275862069,0.6941580756013745,0.6911764705882353,70,35,0.1206896551724138,0,0,16.50779896013865
"Gary Payton II","GSW",610,1253,219,74,116,0.6379310344827587,19,52,0.36538461538461536,0.36538461538461536,14,120,28,57,0,0.8108108108108109,0.8955223880597015,1,0.30952380952380953,0.5738586309523809,0.6101190476190477,0.6151685393258427,14,11,0.09482758620689655,1,0.019230769230769232,13.92318244170096
"Lester Quinones","GSW",269,556,99,15,33,0.45454545454545453,18,48,0.375,0.3695652173913043,15,14,16,54,0,0.4666666666666667,0.5384615384615384,1,0.5925925925925926,0.5259132911392406,0.5185185185185185,0.5380434782608695,4,3,0.09090909090909091,1,0.020833333333333332,15.407854984894259
"Cory Joseph","GSW",239,480,48,9,18,0.5,9,32,0.28125,0.2903225806451613,3,12,6,24,3,0.6666666666666666,0.6666666666666666,0.8888888888888888,0.64,0.5009928571428571,0.45,0.46153846153846156,0,1,0.05555555555555555,0,0,10.79136690647482
"Gui Santos","GSW",103,206,44,13,19,0.6842105263157895,4,11,0.36363636363636365,0.36363636363636365,6,16,10,12,0,0.6153846153846154,0.7272727272727273,1,0.36666666666666664,0.5724466666666667,0.6333333333333333,0.6666666666666666,4,2,0.10526315789473684,0,0,14.229249011857709
"Pat Spencer","GSW",14,31,2,1,1,1,0,2,0,0,0,0,2,0,0,0,0,0,0.6666666666666666,0.5025833333333333,0.3333333333333333,0.3333333333333333,2,0,0,0,0,11.11111111111111
"Jerome Robinson","GSW",8,18,6,2,2,1,0,0,0,0,2,4,0,0,0,1,1,0,0,0.4603,1,1,0,0,0,0,0,15.789473684210526
"Usman Garuba","GSW",4,10,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.4005,0,0.25,0,0,0,0,0,18.181818181818183
