"Name","TeamAbbreviation","Minutes","OffPoss","Points","FG2M","FG2A","Fg2Pct","FG3M","FG3A","Fg3Pct","NonHeaveFg3Pct","FtPoints","PtsAssisted2s","PtsUnassisted2s","PtsAssisted3s","PtsUnassisted3s","Assisted2sPct","NonPutbacksAssisted2sPct","Assisted3sPct","FG3APct","ShotQualityAvg","EfgPct","TsPct","PtsPutbacks","Fg2aBlocked","FG2APctBlocked","Fg3aBlocked","FG3APctBlocked","Usage"
"Stephen Curry","GSW",16,42,31,8,16,0.5,4,10,0.4,0.4,3,2,14,9,3,0.125,0.125,0.75,0.38461538461538464,0.39914,0.5384615384615384,0.5740740740740741,0,1,0.0625,1,0.1,58
"Klay Thompson","GSW",15,40,9,2,2,1,1,4,0.25,0.3333333333333333,2,4,0,3,0,1,1,1,0.6666666666666666,0.39519000000000004,0.5833333333333334,0.6428571428571429,0,0,0,0,0,14.893617021276597
"Draymond Green","GSW",12,34,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0.3333333333333333,0.38273333333333337,0,0,0,1,0.5,0,0,10.526315789473685
"Andrew Wiggins","GSW",10,24,3,0,1,0,1,1,1,1,0,0,0,3,0,0,0,1,0.5,0.49745,0.75,0.75,0,0,0,0,0,6.666666666666667
"Chris Paul","GSW",9,25,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0.5,0.40725,0,0,0,0,0,0,0,6.451612903225807
"Jonathan Kuminga","GSW",8,14,2,1,4,0.25,0,0,0,0,0,2,0,0,0,1,1,0,0,0.459575,0.25,0.25,0,2,0.5,0,0,21.05263157894737
"Brandin Podziemski","GSW",6,20,2,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0.3453,0,0.5,0,0,0,0,0,9.090909090909092
"Gary Payton II","GSW",4,10,4,2,2,1,0,0,0,0,0,4,0,0,0,1,1,0,0,0.53695,1,1,0,0,0,0,0,18.181818181818183
"Trayce Jackson-Davis","GSW",3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Kevon Looney","GSW",3,7,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5656,0,0,0,1,0.5,0,0,20
"Dario Saric","GSW",2,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.5676,0,0,0,0,0,1,1,20
"Moses Moody","GSW",1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lester Quinones","GSW",1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,50
"Cory Joseph","GSW",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
