Name,TeamAbbreviation,Minutes,OffPoss,Points,FG2M,FG2A,Fg2Pct,FG3M,FG3A,Fg3Pct,NonHeaveFg3Pct,FtPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,PtsUnassisted3s,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,FG3APct,ShotQualityAvg,EfgPct,TsPct,PtsPutbacks,Fg2aBlocked,FG2APctBlocked,Fg3aBlocked,FG3APctBlocked,Usage
Jrue Holiday,BOS,77,115,10,2,7,0.2857142857142860,0,3,0,0,6,0,4,0,0,0,0,0,0.3,0.49853,0.2,0.38461538461538500,2,1,0.14285714285714300,0,0,9.62962962962963
Jayson Tatum,BOS,74,106,49,11,22,0.5,4,12,0.3333333333333330,0.3333333333333330,15,4,18,6,6,0.18181818181818200,0.2,0.5,0.35294117647058800,0.5074397058823530,0.5,0.5853658536585370,2,1,0.045454545454545500,0,0,34.645669291338600
Jaylen Brown,BOS,70,106,27,10,19,0.5263157894736840,1,7,0.14285714285714300,0.14285714285714300,4,8,12,3,0,0.4,0.4,1,0.2692307692307690,0.5015692307692310,0.4423076923076920,0.46551724137931000,0,2,0.10526315789473700,1,0.14285714285714300,27.049180327868900
Derrick White,BOS,65,94,24,3,4,0.75,5,14,0.35714285714285700,0.35714285714285700,3,2,4,9,6,0.3333333333333330,0.3333333333333330,0.6,0.7777777777777780,0.5402388888888890,0.5833333333333330,0.631578947368421,0,0,0,0,0,16.96428571428570
Kristaps Porzingis,BOS,52,75,27,2,5,0.4,2,7,0.2857142857142860,0.2857142857142860,17,2,2,6,0,0.5,1,1,0.5833333333333330,0.5119041666666670,0.4166666666666670,0.6428571428571430,2,0,0,0,0,25.30120481927710
Al Horford,BOS,51,72,13,2,3,0.6666666666666670,3,6,0.5,0.5,0,2,2,9,0,0.5,0.5,1,0.6666666666666670,0.5462055555555560,0.7222222222222220,0.7222222222222220,0,0,0,0,0,11.764705882352900
Sam Hauser,BOS,22,32,3,0,0,0,1,2,0.5,0.5,0,0,0,3,0,0,0,1,1,0.53835,0.75,0.75,0,0,0,0,0,7.894736842105260
Payton Pritchard,BOS,16,25,5,0,2,0,1,2,0.5,0,2,0,0,3,0,0,0,1,0.5,0.43721666666666700,0.375,0.5,0,2,1,0,0,16.129032258064500
Luke Kornet,BOS,14,22,8,2,3,0.6666666666666670,0,0,0,0,4,0,4,0,0,0,0,0,0,0.6459666666666670,0.6666666666666670,0.8,4,0,0,0,0,19.23076923076920
Neemias Queta,BOS,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Svi Mykhailiuk,BOS,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jaden Springer,BOS,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oshae Brissett,BOS,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Xavier Tillman,BOS,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
