"Name","TeamAbbreviation","Minutes","OffPoss","Points","FG2M","FG2A","Fg2Pct","FG3M","FG3A","Fg3Pct","NonHeaveFg3Pct","FtPoints","PtsAssisted2s","PtsUnassisted2s","PtsAssisted3s","PtsUnassisted3s","Assisted2sPct","NonPutbacksAssisted2sPct","Assisted3sPct","FG3APct","ShotQualityAvg","EfgPct","TsPct","PtsPutbacks","Fg2aBlocked","FG2APctBlocked","Fg3aBlocked","FG3APctBlocked","Usage"
"Anthony Davis","LAL",2433,5138,1715,636,1100,0.5781818181818181,25,86,0.29069767441860467,0.29069767441860467,368,848,424,72,3,0.6666666666666666,0.7910447761194029,0.96,0.07251264755480608,0.5286016455696203,0.5678752107925801,0.6187181354697742,200,71,0.06454545454545454,0,0,26.887042602085913
"Austin Reaves","LAL",2308,4836,1122,263,456,0.5767543859649122,133,371,0.3584905660377358,0.36239782016348776,197,222,304,279,120,0.4220532319391635,0.4269230769230769,0.6992481203007519,0.4486094316807739,0.5208358272506083,0.5592503022974608,0.6031659388646288,6,38,0.08333333333333333,4,0.01078167115902965,20.124130148580026
"LeBron James","LAL",2224,4636,1599,470,799,0.5882352941176471,133,321,0.4143302180685358,0.415625,260,412,528,282,117,0.43829787234042555,0.45374449339207046,0.706766917293233,0.28660714285714284,0.5469063002680965,0.5977678571428572,0.6355325914149443,32,50,0.0625782227784731,1,0.003115264797507788,28.73653281096964
"D'Angelo Russell","LAL",2222,4678,1194,247,497,0.4969818913480885,188,467,0.4025695931477516,0.4069264069264069,136,192,302,411,153,0.38866396761133604,0.39669421487603307,0.7287234042553191,0.48443983402489627,0.5147848643006273,0.5487551867219918,0.5757281553398058,10,30,0.060362173038229376,0,0,22.684016313847348
"Taurean Prince","LAL",1883,3947,633,104,195,0.5333333333333333,128,322,0.39751552795031053,0.4025157232704403,41,184,24,360,24,0.8846153846153846,0.8932038834951457,0.9375,0.6228239845261122,0.5452656920077973,0.5725338491295938,0.5861111111111111,2,19,0.09743589743589744,5,0.015527950310559006,13.948694457169035
"Rui Hachimura","LAL",1607,3355,825,243,409,0.5941320293398533,83,205,0.40487804878048783,0.40487804878048783,90,392,94,246,3,0.8065843621399177,0.8412017167381974,0.9879518072289156,0.3338762214983713,0.5568900489396411,0.5985342019543974,0.6193693693693694,20,38,0.09290953545232274,2,0.00975609756097561,19.197396963123644
"Cam Reddish","LAL",875,1856,232,49,109,0.44954128440366975,34,99,0.3434343434343434,0.3434343434343434,32,72,26,102,0,0.7346938775510204,0.75,1,0.47596153846153844,0.5637778846153846,0.4807692307692308,0.5087719298245614,2,16,0.14678899082568808,0,0,12.554744525547445
"Max Christie","LAL",733,1544,211,42,81,0.5185185185185185,35,90,0.3888888888888889,0.3977272727272727,22,66,18,105,0,0.7857142857142857,0.8048780487804879,1,0.5263157894736842,0.5350946428571435,0.5526315789473685,0.5765027322404371,2,12,0.14814814814814814,1,0.011111111111111112,12.388855957320686
"Christian Wood","LAL",719,1476,273,68,119,0.5714285714285714,30,94,0.3191489361702128,0.3191489361702128,47,106,30,87,3,0.7794117647058824,0.9137931034482759,0.9666666666666667,0.4413145539906103,0.5314727699530516,0.5305164319248826,0.5548780487804879,20,8,0.06722689075630252,0,0,17.247706422018346
"Jaxson Hayes","LAL",669,1372,228,92,124,0.7419354838709677,0,2,0,0,44,156,28,0,0,0.8478260869565217,0.9873417721518988,0,0.015873015873015872,0.6400775999999999,0.7301587301587301,0.7261146496815286,26,12,0.0967741935483871,0,0,12.59016393442623
"Spencer Dinwiddie","LAL",608,1277,172,21,50,0.42,31,84,0.36904761904761907,0.36904761904761907,37,6,36,87,6,0.14285714285714285,0.14285714285714285,0.9354838709677419,0.6268656716417911,0.5195533582089552,0.503731343283582,0.5695364238410596,0,2,0.04,0,0,12.687099073414114
"Jarred Vanderbilt","LAL",505,1055,135,47,76,0.618421052631579,6,23,0.2608695652173913,0.2727272727272727,23,66,28,18,0,0.7021276595744681,0.7674418604651163,1,0.23232323232323232,0.5943811224489796,0.5656565656565656,0.6026785714285714,8,11,0.14473684210526316,1,0.043478260869565216,11.51566469093988
"Gabe Vincent","LAL",201,423,32,11,19,0.5789473684210527,3,26,0.11538461538461539,0.11538461538461539,1,12,10,6,3,0.5454545454545454,0.5454545454545454,0.6666666666666666,0.5777777777777777,0.5070577777777777,0.34444444444444444,0.34782608695652173,0,2,0.10526315789473684,0,0,10.87420042643923
"Skylar Mays","LAL",27,57,2,1,5,0.2,0,3,0,0,0,2,0,0,0,1,1,0,0.375,0.50765625,0.125,0.125,0,1,0.2,0,0,13.235294117647058
"Jalen Hood-Schifino","LAL",25,51,0,0,6,0,0,2,0,0,0,0,0,0,0,0,0,0,0.25,0.51451875,0,0,0,3,0.5,0,0,15.789473684210527
"Dylan Windler","LAL",6,14,3,0,0,0,1,3,0.3333333333333333,0.3333333333333333,0,0,0,3,0,0,0,1,1,0.5680999999999999,0.5,0.5,0,0,0,0,0,20
"Colin Castleton","LAL",5,11,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4006,0,0,0,1,1,0,0,15.384615384615383
"Harry Giles III","LAL",4,8,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0.5,0.489775,0,0,0,1,1,0,0,25
"D'Moi Hodge","LAL",3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Maxwell Lewis","LAL",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50
