"Name","TeamAbbreviation","Minutes","OffPoss","Points","FG2M","FG2A","Fg2Pct","FG3M","FG3A","Fg3Pct","NonHeaveFg3Pct","FtPoints","PtsAssisted2s","PtsUnassisted2s","PtsAssisted3s","PtsUnassisted3s","Assisted2sPct","NonPutbacksAssisted2sPct","Assisted3sPct","FG3APct","ShotQualityAvg","EfgPct","TsPct","PtsPutbacks","Fg2aBlocked","FG2APctBlocked","Fg3aBlocked","FG3APctBlocked","Usage"
"Austin Reaves","LAL",12,28,11,1,1,1,2,6,0.3333333333333333,0.3333333333333333,3,0,2,6,0,0,0,1,0.8571428571428571,0.41705000000000003,0.5714285714285714,0.6111111111111112,0,0,0,0,0,29.032258064516128
"Anthony Davis","LAL",11,26,11,3,3,1,0,1,0,0,5,4,2,0,0,0.6666666666666666,1,0,0.25,0.5713,0.75,0.7857142857142857,2,0,0,0,0,26.666666666666668
"LeBron James","LAL",9,24,5,1,3,0.3333333333333333,0,1,0,0,3,0,2,0,0,0,0,0,0.25,0.4413125,0.25,0.4166666666666667,0,1,0.3333333333333333,0,0,24.999999999999996
"D'Angelo Russell","LAL",9,23,11,1,3,0.3333333333333333,1,2,0.5,0.5,6,0,2,3,0,0,0,1,0.4,0.35674,0.5,0.6875,0,1,0.3333333333333333,0,0,33.33333333333333
"Taurean Prince","LAL",6,13,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.6172,0,0.25,0,0,0,0,0,14.285714285714285
"Rui Hachimura","LAL",5,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Jarred Vanderbilt","LAL",3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Spencer Dinwiddie","LAL",3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cam Reddish","LAL",2,7,2,1,2,0.5,0,0,0,0,0,2,0,0,0,1,1,0,0,0.5351,0.5,0.5,0,0,0,0,0,28.57142857142857
"Christian Wood","LAL",1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gabe Vincent","LAL",1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Max Christie","LAL",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Jaxson Hayes","LAL",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
