Name,TeamAbbreviation,Minutes,OffPoss,Points,FG2M,FG2A,Fg2Pct,FG3M,FG3A,Fg3Pct,NonHeaveFg3Pct,FtPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,PtsUnassisted3s,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,FG3APct,ShotQualityAvg,EfgPct,TsPct,PtsPutbacks,Fg2aBlocked,FG2APctBlocked,Fg3aBlocked,FG3APctBlocked,Usage
Payton Pritchard,BOS,414,849,228,53,90,0.5888888888888890,33,88,0.375,0.3793103448275860,23,22,84,81,18,0.20754716981132100,0.21568627450980400,0.8181818181818180,0.4943820224719100,0.49926468926553700,0.5758426966292140,0.6005291005291010,4,10,0.1111111111111110,1,0.011363636363636400,21.52284263959390
Sam Hauser,BOS,289,598,151,10,20,0.5,41,105,0.3904761904761910,0.3904761904761910,8,14,6,117,6,0.7,1,0.9512195121951220,0.84,0.5211899193548390,0.572,0.578125,6,3,0.15,0,0,19.322990126939400
Jayson Tatum,BOS,259,555,224,46,93,0.4946236559139790,23,65,0.35384615384615400,0.35384615384615400,63,30,62,30,39,0.32608695652173900,0.3409090909090910,0.43478260869565200,0.41139240506329100,0.5127914556962030,0.509493670886076,0.5868421052631580,4,9,0.0967741935483871,1,0.015384615384615400,33.65539452495970
Oshae Brissett,BOS,256,537,103,29,53,0.5471698113207550,6,27,0.2222222222222220,0.2222222222222220,27,36,22,18,0,0.6206896551724140,0.6428571428571430,1,0.3375,0.5657281250000000,0.475,0.5255102040816330,2,5,0.09433962264150940,0,0,17.35668789808920
Svi Mykhailiuk,BOS,249,511,92,8,18,0.4444444444444440,25,70,0.35714285714285700,0.35714285714285700,1,12,4,66,9,0.75,0.75,0.88,0.7954545454545450,0.5354982954545450,0.5170454545454550,0.5168539325842700,0,2,0.1111111111111110,1,0.014285714285714300,16.35434412265760
Derrick White,BOS,246,517,124,19,32,0.59375,21,46,0.45652173913043500,0.45652173913043500,23,20,18,51,12,0.5263157894736840,0.5263157894736840,0.8095238095238100,0.5897435897435900,0.5102820512820510,0.6474358974358980,0.6988636363636360,0,3,0.09375,0,0,17.36842105263160
Jrue Holiday,BOS,223,473,73,18,30,0.6,10,26,0.38461538461538500,0.38461538461538500,7,22,14,21,9,0.6111111111111110,0.6875,0.7,0.4642857142857140,0.5159745454545460,0.5892857142857140,0.6083333333333330,4,2,0.06666666666666670,0,0,13.518518518518500
Jaylen Brown,BOS,212,456,136,37,80,0.4625,13,42,0.30952380952381000,0.30952380952381000,23,42,32,21,18,0.5675675675675680,0.5833333333333330,0.5384615384615380,0.3442622950819670,0.5405305785123970,0.46311475409836100,0.5037037037037040,2,7,0.0875,0,0,28.8
Luke Kornet,BOS,200,401,61,27,44,0.6136363636363640,0,0,0,0,7,42,12,0,0,0.7777777777777780,1,0,0,0.6449931818181820,0.6136363636363640,0.648936170212766,12,3,0.06818181818181820,0,0,10.995850622406600
Kristaps Porzingis,BOS,141,307,73,18,30,0.6,5,18,0.2777777777777780,0.2777777777777780,22,30,6,15,0,0.8333333333333330,0.9375,1,0.375,0.5053364583333330,0.53125,0.6083333333333330,4,1,0.03333333333333330,0,0,19.883040935672500
Al Horford,BOS,136,301,59,12,15,0.8,11,30,0.36666666666666700,0.36666666666666700,2,20,4,33,0,0.8333333333333330,0.9090909090909090,1,0.6666666666666670,0.5701277777777780,0.6333333333333330,0.6413043478260870,2,0,0,0,0,14.414414414414400
Neemias Queta,BOS,125,258,72,33,48,0.6875,0,0,0,0,6,46,20,0,0,0.696969696969697,1,0,0,0.5575458333333330,0.6875,0.6923076923076920,20,7,0.14583333333333300,0,0,19.141914191419100
Dalano Banton,BOS,109,227,40,10,23,0.43478260869565200,2,12,0.16666666666666700,0.16666666666666700,14,8,12,6,0,0.4,0.4444444444444440,1,0.34285714285714300,0.5160742857142860,0.37142857142857100,0.46511627906976700,2,2,0.08695652173913040,0,0,17.153284671532800
Lamar Stevens,BOS,94,199,42,15,32,0.46875,2,4,0.5,0.5,6,18,12,6,0,0.6,0.8181818181818180,1,0.1111111111111110,0.5528277777777780,0.5,0.525,8,3,0.09375,0,0,20.512820512820500
Jaden Springer,BOS,87,178,20,7,12,0.5833333333333330,1,9,0.1111111111111110,0.1111111111111110,3,6,8,3,0,0.42857142857142900,0.6,1,0.42857142857142900,0.5102619047619050,0.40476190476190500,0.43478260869565200,4,1,0.08333333333333330,0,0,14.634146341463400
Xavier Tillman,BOS,73,148,32,10,13,0.7692307692307690,3,10,0.3,0.3,3,18,2,9,0,0.9,0.9,1,0.43478260869565200,0.5566695652173910,0.6304347826086960,0.64,0,0,0,0,0,17.088607594936700
Jordan Walsh,BOS,44,84,9,3,3,1,1,5,0.2,0.2,0,6,0,3,0,1,1,1,0.625,0.54860625,0.5625,0.5625,0,0,0,0,0,8.653846153846150
JD Davison,BOS,26,57,13,1,3,0.3333333333333330,3,6,0.5,0.5,2,2,0,9,0,1,1,1,0.6666666666666670,0.5507388888888890,0.6111111111111110,0.65,0,0,0,0,0,16.666666666666700
Drew Peterson,BOS,14,29,11,1,1,1,3,4,0.75,0.75,0,2,0,9,0,1,1,1,0.8,0.63288,1.1,1.1,0,0,0,0,0,14.705882352941200
