"Name","TeamAbbreviation","Minutes","OffPoss","Points","FG2M","FG2A","Fg2Pct","FG3M","FG3A","Fg3Pct","NonHeaveFg3Pct","FtPoints","PtsAssisted2s","PtsUnassisted2s","PtsAssisted3s","PtsUnassisted3s","Assisted2sPct","NonPutbacksAssisted2sPct","Assisted3sPct","FG3APct","ShotQualityAvg","EfgPct","TsPct","PtsPutbacks","Fg2aBlocked","FG2APctBlocked","Fg3aBlocked","FG3APctBlocked","Usage"
"Anthony Edwards","MIN",2430,4912,1758,453,897,0.5050167224080268,163,449,0.36302895322939865,0.36794582392776526,363,308,598,264,225,0.33995584988962474,0.34841628959276016,0.5398773006134969,0.33358098068350667,0.5243954409566518,0.5182020802377415,0.574607329842932,22,51,0.056856187290969896,0,0,31.518572469045885
"Rudy Gobert","MIN",2255,4473,936,368,550,0.6690909090909091,0,3,0,0,200,508,228,0,0,0.6902173913043478,0.9236363636363636,0,0.0054249547920434,0.6253316123188405,0.6654611211573237,0.6812227074235808,186,51,0.09272727272727273,0,0,15.697559039491962
"Mike Conley","MIN",1915,3816,755,103,215,0.4790697674418605,151,341,0.44281524926686217,0.44281524926686217,96,96,110,357,96,0.46601941747572817,0.4752475247524752,0.7880794701986755,0.6133093525179856,0.5226282374100719,0.5926258992805755,0.6256281407035176,4,11,0.05116279069767442,0,0,16.1599625818522
"Jaden McDaniels","MIN",1825,3635,677,199,338,0.5887573964497042,75,224,0.33482142857142855,0.33783783783783783,54,238,160,222,3,0.5979899497487438,0.6363636363636364,0.9866666666666667,0.398576512455516,0.5445874107142857,0.5542704626334519,0.5698653198653199,24,26,0.07692307692307693,0,0,16.53912614169341
"Karl-Anthony Towns","MIN",1795,3623,1209,315,562,0.5604982206405694,118,282,0.41843971631205673,0.4199288256227758,225,404,226,348,6,0.6412698412698413,0.698961937716263,0.9830508474576272,0.3341232227488152,0.5261436536180308,0.5829383886255924,0.6319663512092534,52,58,0.10320284697508897,2,0.0070921985815602835,27.52362008950771
"Naz Reid","MIN",1733,3522,972,213,400,0.5325,150,360,0.4166666666666667,0.41899441340782123,96,268,158,450,0,0.6291079812206573,0.6767676767676768,1,0.47368421052631576,0.5409262879788639,0.5763157894736842,0.5936352509179926,30,55,0.1375,2,0.005555555555555556,23.323170731707318
"Nickeil Alexander-Walker","MIN",1665,3379,579,93,177,0.5254237288135594,117,289,0.40484429065743943,0.4076655052264808,42,106,80,348,3,0.5698924731182796,0.5824175824175825,0.9914529914529915,0.6201716738197425,0.5472556155507559,0.5761802575107297,0.5885947046843177,4,24,0.13559322033898305,3,0.010380622837370242,14.757591901971232
"Kyle Anderson","MIN",1545,3116,461,170,353,0.48158640226628896,11,44,0.25,0.25,88,180,160,33,0,0.5294117647058824,0.5806451612903226,1,0.11083123425692695,0.4873551637279597,0.46977329974811083,0.5099557522123894,30,20,0.056657223796033995,0,0,15.024278777492146
"Jordan McLaughlin","MIN",498,996,174,24,48,0.5,38,78,0.48717948717948717,0.4805194805194805,12,30,18,111,3,0.625,0.7142857142857143,0.9736842105263158,0.6190476190476191,0.5462724,0.6428571428571429,0.6541353383458647,6,5,0.10416666666666667,0,0,13.471971066907775
"Shake Milton","MIN",388,803,130,32,74,0.43243243243243246,13,42,0.30952380952380953,0.30952380952380953,27,36,28,36,3,0.5625,0.5806451612903226,0.9230769230769231,0.3620689655172414,0.5209573913043478,0.44396551724137934,0.4961832061068702,2,10,0.13513513513513514,1,0.023809523809523808,17.002237136465325
"Monte Morris","MIN",356,713,106,19,51,0.37254901960784315,20,48,0.4166666666666667,0.4166666666666667,8,12,26,57,3,0.3157894736842105,0.35294117647058826,0.95,0.48484848484848486,0.5125328282828283,0.494949494949495,0.5048076923076923,4,3,0.058823529411764705,0,0,13.72299872935197
"Troy Brown Jr.","MIN",299,600,95,13,21,0.6190476190476191,20,54,0.37037037037037035,0.37037037037037035,9,10,16,57,3,0.38461538461538464,0.38461538461538464,0.95,0.72,0.5529013333333332,0.5733333333333334,0.59375,0,1,0.047619047619047616,0,0,13.283582089552239
"T.J. Warren","MIN",102,219,29,10,21,0.47619047619047616,2,10,0.2,0.2,3,16,4,6,0,0.8,1,1,0.3225806451612903,0.47895806451612905,0.41935483870967744,0.4393939393939394,4,1,0.047619047619047616,0,0,14.4
"Luka Garza","MIN",52,106,33,6,9,0.6666666666666666,6,18,0.3333333333333333,0.3333333333333333,3,6,6,18,0,0.5,0.75,1,0.6666666666666666,0.5181129629629629,0.5555555555555556,0.5689655172413793,4,1,0.1111111111111111,0,0,26.229508196721312
"Daishen Nix","MIN",10,20,3,0,1,0,1,4,0.25,0.25,0,0,0,3,0,0,0,1,0.8,0.5391,0.3,0.3,0,0,0,0,0,21.73913043478261
"Josh Minott","MIN",1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
