"Name","TeamAbbreviation","Minutes","OffPoss","Points","FG2M","FG2A","Fg2Pct","FG3M","FG3A","Fg3Pct","NonHeaveFg3Pct","FtPoints","PtsAssisted2s","PtsUnassisted2s","PtsAssisted3s","PtsUnassisted3s","Assisted2sPct","NonPutbacksAssisted2sPct","Assisted3sPct","FG3APct","ShotQualityAvg","EfgPct","TsPct","PtsPutbacks","Fg2aBlocked","FG2APctBlocked","Fg3aBlocked","FG3APctBlocked","Usage"
"Jalen Brunson","NYK",2446,4856,1982,514,996,0.5160642570281124,194,471,0.4118895966029724,0.4118895966029724,372,248,780,336,246,0.24124513618677043,0.24554455445544554,0.5773195876288659,0.3210633946830266,0.4952655631399317,0.5487389229720518,0.6017262638717632,18,49,0.04919678714859438,2,0.004246284501061571,31.449761610453823
"Josh Hart","NYK",2364,4621,651,186,376,0.4946808510638298,72,221,0.3257918552036199,0.32727272727272727,63,242,130,195,21,0.6505376344086021,0.6759776536312849,0.9027777777777778,0.37018425460636517,0.5534498322147652,0.49246231155778897,0.5174880763116058,14,51,0.1356382978723404,0,0,13.622920517560074
"Donte DiVincenzo","NYK",2097,4155,1140,147,269,0.5464684014869888,261,630,0.4142857142857143,0.41467304625199364,63,196,98,717,66,0.6666666666666666,0.7101449275362319,0.9157088122605364,0.7007786429365962,0.5660274301675978,0.5989988876529477,0.6115879828326181,18,23,0.08550185873605948,5,0.007936507936507936,21.38860103626943
"Isaiah Hartenstein","NYK",1712,3430,520,210,325,0.6461538461538462,1,2,0.5,0.5,97,280,140,3,0,0.6666666666666666,0.9210526315789473,1,0.0061162079510703364,0.5906396024464832,0.6467889908256881,0.6842105263157895,116,26,0.08,0,0,11.629667003027246
"Julius Randle","NYK",1475,2990,995,290,538,0.5390334572490706,68,222,0.3063063063063063,0.3063063063063063,211,244,336,174,30,0.4206896551724138,0.45185185185185184,0.8529411764705882,0.29210526315789476,0.525475,0.5157894736842106,0.565068493150685,40,57,0.10594795539033457,0,0,29.432113000864806
"Miles McBride","NYK",1066,2058,471,78,149,0.5234899328859061,92,218,0.42201834862385323,0.423963133640553,39,60,96,249,27,0.38461538461538464,0.410958904109589,0.9021739130434783,0.5940054495912807,0.5433467123287671,0.5885558583106267,0.61328125,10,12,0.08053691275167785,4,0.01834862385321101,16.999168744804656
"Precious Achiuwa","NYK",990,1896,302,116,205,0.5658536585365853,12,43,0.27906976744186046,0.27906976744186046,34,130,102,33,3,0.5603448275862069,0.7926829268292683,0.9166666666666666,0.17338709677419356,0.6028183467741935,0.5403225806451613,0.5571955719557196,68,22,0.1073170731707317,0,0,14.054782218230804
"Quentin Grimes","NYK",795,1571,266,26,51,0.5098039215686274,66,179,0.3687150837988827,0.3687150837988827,16,42,10,195,3,0.8076923076923077,0.8076923076923077,0.9848484848484849,0.7782608695652173,0.5746195652173913,0.5434782608695652,0.5541666666666667,0,8,0.1568627450980392,1,0.00558659217877095,14.090660841070454
"OG Anunoby","NYK",723,1440,302,75,140,0.5357142857142857,40,98,0.40816326530612246,0.40816326530612246,32,106,44,117,3,0.7066666666666667,0.7361111111111112,0.975,0.4117647058823529,0.59876743697479,0.5672268907563025,0.5901960784313726,6,19,0.1357142857142857,1,0.01020408163265306,17.675544794188863
"RJ Barrett","NYK",704,1436,425,111,240,0.4625,35,115,0.30434782608695654,0.30434782608695654,98,118,104,105,0,0.5315315315315315,0.5566037735849056,1,0.323943661971831,0.547545633802817,0.46056338028169014,0.5170316301703163,10,36,0.15,4,0.034782608695652174,27.66990291262136
