"Name","TeamAbbreviation","Minutes","OffPoss","Points","FG2M","FG2A","Fg2Pct","FG3M","FG3A","Fg3Pct","NonHeaveFg3Pct","FtPoints","PtsAssisted2s","PtsUnassisted2s","PtsAssisted3s","PtsUnassisted3s","Assisted2sPct","NonPutbacksAssisted2sPct","Assisted3sPct","FG3APct","ShotQualityAvg","EfgPct","TsPct","PtsPutbacks","Fg2aBlocked","FG2APctBlocked","Fg3aBlocked","FG3APctBlocked","Usage"
"Jalen Brunson","NYK",9,18,11,5,10,0.5,0,4,0,0,1,0,10,0,0,0,0,0,0.2857142857142857,0.4101714285714286,0.35714285714285715,0.36666666666666664,0,0,0,0,0,51.724137931034484
"Josh Hart","NYK",8,17,3,1,1,1,0,1,0,0,1,2,0,0,0,1,1,0,0.5,0.63725,0.5,0.5,0,0,0,0,0,10.714285714285714
"Donte DiVincenzo","NYK",7,13,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.49695,0,0,0,0,0,0,0,8.695652173913043
"Isaiah Hartenstein","NYK",5,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Julius Randle","NYK",4,7,2,1,2,0.5,0,0,0,0,0,2,0,0,0,1,1,0,0,0.58485,0.5,0.5,0,0,0,0,0,22.22222222222222
"OG Anunoby","NYK",3,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.47925,0,0,0,0,0,0,0,33.333333333333336
"Miles McBride","NYK",3,6,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0.5,0.569225,0,0,0,0,0,0,0,23.076923076923077
"Mitchell Robinson","NYK",3,6,2,1,2,0.5,0,0,0,0,0,0,2,0,0,0,0,0,0,0.6819,0.5,0.5,2,0,0,0,0,22.22222222222222
"Precious Achiuwa","NYK",2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.11111111111111
"Immanuel Quickley","NYK",2,5,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,14.285714285714285
"RJ Barrett","NYK",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bojan Bogdanovic","NYK",1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Alec Burks","NYK",1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.53505,0,0,0,0,0,0,0,50
"Quentin Grimes","NYK",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DaQuan Jeffries","NYK",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
