"Name","TeamAbbreviation","Minutes","OffPoss","Points","FG2M","FG2A","Fg2Pct","FG3M","FG3A","Fg3Pct","NonHeaveFg3Pct","FtPoints","PtsAssisted2s","PtsUnassisted2s","PtsAssisted3s","PtsUnassisted3s","Assisted2sPct","NonPutbacksAssisted2sPct","Assisted3sPct","FG3APct","ShotQualityAvg","EfgPct","TsPct","PtsPutbacks","Fg2aBlocked","FG2APctBlocked","Fg3aBlocked","FG3APctBlocked","Usage"
"Shai Gilgeous-Alexander","OKC",2292,4792,1953,619,1077,0.574744661095636,79,233,0.33905579399141633,0.33905579399141633,478,266,972,87,150,0.2148626817447496,0.2173202614379085,0.3670886075949367,0.17786259541984734,0.5203705500381971,0.5629770992366412,0.6284135240572172,14,66,0.06128133704735376,1,0.004291845493562232,31.741838082657104
"Chet Holmgren","OKC",2160,4479,1251,348,556,0.6258992805755396,121,317,0.38170347003154576,0.38412698412698415,192,460,236,354,9,0.6609195402298851,0.749185667752443,0.9752066115702479,0.3631156930126002,0.5525905281285879,0.6065292096219931,0.6395705521472392,82,52,0.09352517985611511,4,0.012618296529968454,22.11460855528652
"Luguentz Dort","OKC",2007,4167,774,122,238,0.5126050420168067,138,355,0.38873239436619716,0.38873239436619716,116,154,90,411,3,0.6311475409836066,0.6637931034482759,0.9927536231884058,0.5986509274873525,0.5635168074324324,0.554806070826307,0.5891768292682927,12,24,0.10084033613445378,2,0.005633802816901409,15.741345525800131
"Jalen Williams","OKC",1982,4139,1210,390,680,0.5735294117647058,90,210,0.42857142857142855,0.42857142857142855,160,318,462,198,72,0.4076923076923077,0.41842105263157897,0.7333333333333333,0.23595505617977527,0.5275534269662921,0.5898876404494382,0.6183401639344263,20,40,0.058823529411764705,1,0.004761904761904762,23.76760563380282
"Josh Giddey","OKC",1789,3734,879,284,534,0.5318352059925093,76,221,0.3438914027149321,0.3438914027149321,83,300,268,219,9,0.528169014084507,0.5725190839694656,0.9605263157894737,0.29271523178807946,0.5405478779840849,0.5271523178807948,0.5501882057716436,44,63,0.11797752808988764,1,0.004524886877828055,22.71957415920639
"Cason Wallace","OKC",1426,2908,454,93,163,0.5705521472392638,81,193,0.41968911917098445,0.41968911917098445,25,128,58,234,9,0.6881720430107527,0.7032967032967034,0.9629629629629629,0.5421348314606742,0.5625200842696629,0.6025280898876404,0.6118598382749326,4,16,0.09815950920245399,4,0.02072538860103627,12.714241196634465
"Isaiah Joe","OKC",1267,2667,549,61,109,0.5596330275229358,130,304,0.4276315789473684,0.4304635761589404,37,96,26,381,9,0.7868852459016393,0.8,0.9769230769230769,0.7360774818401937,0.5375142335766423,0.6198547215496368,0.6386946386946387,2,8,0.07339449541284404,4,0.013157894736842105,15.908324907313784
"Aaron Wiggins","OKC",978,1977,414,120,196,0.6122448979591837,45,102,0.4411764705882353,0.4411764705882353,39,154,86,129,6,0.6416666666666667,0.719626168224299,0.9555555555555556,0.3422818791946309,0.5940129194630872,0.6291946308724832,0.6428571428571429,26,23,0.11734693877551021,3,0.029411764705882353,16.438979963570127
"Kenrich Williams","OKC",848,1719,258,56,104,0.5384615384615384,47,116,0.4051724137931034,0.40869565217391307,5,88,24,138,3,0.7857142857142857,0.9166666666666666,0.9787234042553191,0.5272727272727272,0.5611445205479452,0.575,0.5707964601769911,16,15,0.14423076923076922,1,0.008620689655172414,12.980269989615783
"Jaylin Williams","OKC",751,1523,233,34,68,0.5,46,126,0.36507936507936506,0.36507936507936506,27,56,12,138,0,0.8235294117647058,0.9032258064516129,1,0.6494845360824743,0.5501992268041237,0.5309278350515464,0.5574162679425837,6,8,0.11764705882352941,0,0,13.931523022432112
"Gordon Hayward","OKC",373,763,98,22,57,0.38596491228070173,12,22,0.5454545454545454,0.5454545454545454,18,34,10,33,3,0.7727272727272727,0.8095238095238095,0.9166666666666666,0.27848101265822783,0.5337670886075949,0.5063291139240507,0.532608695652174,2,6,0.10526315789473684,0,0,12.16056670602125
"Vasilije Micic","OKC",287,571,90,25,43,0.5813953488372093,9,32,0.28125,0.28125,13,30,20,21,6,0.6,0.6,0.7777777777777778,0.4266666666666667,0.521018,0.5133333333333333,0.5487804878048781,0,8,0.18604651162790697,1,0.03125,15.789473684210527
"Ousmane Dieng","OKC",225,449,82,13,19,0.6842105263157895,16,49,0.32653061224489793,0.32653061224489793,8,24,2,48,0,0.9230769230769231,0.9230769230769231,1,0.7205882352941176,0.5687382352941176,0.5441176470588235,0.5694444444444444,0,1,0.05263157894736842,0,0,16.2109375
"Lindy Waters III","OKC",129,277,46,9,9,1,9,28,0.32142857142857145,0.32142857142857145,1,12,6,27,0,0.6666666666666666,0.75,1,0.7567567567567568,0.5568662162162162,0.6081081081081081,0.6216216216216216,2,0,0,0,0,12.78688524590164
"Davis Bertans","OKC",70,154,36,0,2,0,8,19,0.42105263157894735,0.42105263157894735,12,0,0,21,3,0,0,0.875,0.9047619047619048,0.5441499999999999,0.5714285714285714,0.72,0,0,0,0,0,15.384615384615385
"Tre Mann","OKC",36,71,8,1,5,0.2,2,7,0.2857142857142857,0.2857142857142857,0,0,2,6,0,0,0,1,0.5833333333333334,0.5177958333333333,0.3333333333333333,0.3333333333333333,0,0,0,0,0,16.883116883116884
"Olivier Sarr","OKC",34,72,6,1,1,1,0,0,0,0,4,2,0,0,0,1,1,0,0,0.7955,1,0.75,0,0,0,0,0,7.317073170731708
"Mike Muscala","OKC",22,52,4,2,3,0.6666666666666666,0,5,0,0,0,2,2,0,0,0.5,1,0,0.625,0.52169375,0.25,0.25,2,0,0,0,0,16.363636363636363
"Bismack Biyombo","OKC",13,28,2,1,4,0.25,0,0,0,0,0,0,2,0,0,0,0,0,0,0.612375,0.25,0.25,0,2,0.5,0,0,12.5
"Keyontae Johnson","OKC",13,25,2,1,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0.3852,1,1,0,0,0,0,0,3.2258064516129035
"Aleksej Pokusevski","OKC",4,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
