"Name","TeamAbbreviation","Minutes","OffPoss","Points","FG2M","FG2A","Fg2Pct","FG3M","FG3A","Fg3Pct","NonHeaveFg3Pct","FtPoints","PtsAssisted2s","PtsUnassisted2s","PtsAssisted3s","PtsUnassisted3s","Assisted2sPct","NonPutbacksAssisted2sPct","Assisted3sPct","FG3APct","ShotQualityAvg","EfgPct","TsPct","PtsPutbacks","Fg2aBlocked","FG2APctBlocked","Fg3aBlocked","FG3APctBlocked","Usage"
"Chet Holmgren","OKC",12,31,4,1,3,0.3333333333333333,0,0,0,0,2,0,2,0,0,0,0,0,0,0.4903,0.3333333333333333,0.5,2,0,0,0,0,14.285714285714286
"Luguentz Dort","OKC",11,26,5,2,3,0.6666666666666666,0,0,0,0,1,2,2,0,0,0.5,1,0,0,0.6495666666666667,0.6666666666666666,0.625,2,1,0.3333333333333333,0,0,13.333333333333334
"Shai Gilgeous-Alexander","OKC",10,27,18,4,7,0.5714285714285714,1,3,0.3333333333333333,0.3333333333333333,7,2,6,3,0,0.25,0.25,1,0.3,0.40634499999999996,0.55,0.6538461538461539,0,1,0.14285714285714285,0,0,43.333333333333336
"Jalen Williams","OKC",9,23,10,3,4,0.75,0,0,0,0,4,2,4,0,0,0.3333333333333333,0.3333333333333333,0,0,0.516825,0.75,0.8333333333333334,0,0,0,0,0,28
"Isaiah Joe","OKC",7,22,2,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,1,0.5082,0,0.5,0,0,0,0,0,8.333333333333334
"Josh Giddey","OKC",5,19,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0.5,0.436,0,0,0,0,0,0,0,14.285714285714286
"Aaron Wiggins","OKC",4,8,2,1,1,1,0,1,0,0,0,2,0,0,0,1,1,0,0.5,0.6256,0.5,0.5,0,0,0,0,0,20
"Cason Wallace","OKC",3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Kenrich Williams","OKC",2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Jaylin Williams","OKC",1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Davis Bertans","OKC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
