Name,TeamAbbreviation,Minutes,OffPoss,Points,FG2M,FG2A,Fg2Pct,FG3M,FG3A,Fg3Pct,NonHeaveFg3Pct,FtPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,PtsUnassisted3s,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,FG3APct,ShotQualityAvg,EfgPct,TsPct,PtsPutbacks,Fg2aBlocked,FG2APctBlocked,Fg3aBlocked,FG3APctBlocked,Usage
Jaylen Brown,BOS,15,33,4,2,4,0.5,0,3,0,0,0,2,2,0,0,0.5,0.5,0,0.42857142857142900,0.4093428571428570,0.2857142857142860,0.2857142857142860,0,0,0,0,0,18.91891891891890
Jrue Holiday,BOS,15,34,6,1,1,1,1,1,1,1,1,2,0,3,0,1,1,1,0.5,0.60645,1.25,1,0,0,0,0,0,13.157894736842100
Jayson Tatum,BOS,13,29,10,2,10,0.2,1,3,0.3333333333333330,0.3333333333333330,3,0,4,3,0,0,0,1,0.23076923076923100,0.39778846153846200,0.2692307692307690,0.3333333333333330,0,0,0,0,0,45.45454545454550
Derrick White,BOS,12,28,3,0,0,0,1,2,0.5,0.5,0,0,0,3,0,0,0,1,1,0.55125,0.75,0.75,0,0,0,0,0,9.67741935483871
Kristaps Porzingis,BOS,12,27,10,3,3,1,1,3,0.3333333333333330,0.3333333333333330,1,6,0,3,0,1,1,1,0.5,0.5444333333333330,0.75,0.8333333333333330,0,0,0,0,0,20.689655172413800
Al Horford,BOS,7,16,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6721,0,0,0,0,0,0,0,11.11111111111110
Payton Pritchard,BOS,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sam Hauser,BOS,2,5,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0.5,0.342425,0,0,0,1,1,0,0,40
Oshae Brissett,BOS,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Xavier Tillman,BOS,1,2,2,1,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0.4021,1,1,0,0,0,0,0,50
Svi Mykhailiuk,BOS,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Luke Kornet,BOS,1,1,2,1,2,0.5,0,0,0,0,0,2,0,0,0,1,1,0,0,0.50455,0.5,0.5,0,0,0,0,0,200
Jaden Springer,BOS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
